id,name,lat,lng,phone,address,category_name,delivery_suspect,전체메뉴_가격
1239694225,술돼지,35.17237808601571,126.90629040294854,062-511-9295,전남광주통합특별시 북구 용봉로 88,"음식점 > 한식 > 육류,고기",False,"이베리코황금살(180G) 18,000원, 이베리코악어살(180G) 18,000원, 이베리코늑간살(180G) 19,000원, 매운치즈닭발 20,000원, 초벌막창구이 18,000원, 돼지껍데기 6,000원, 이베리코끝판살(180G) 20,000원, 이베리코항정살(180G) 18,000원, 이베리코갈매기살(180G) 18,000원"
8679773,청자골강진식육식당,35.17025972721003,126.91084394046713,062-526-6733,전남광주통합특별시 북구 우치로27번길 4,"음식점 > 한식 > 육류,고기",False,"항정살 (200g) 18,000원, 생삼겹살 (200g) 16,000원, 살치살 (200g) 54,000원, 등심 (200g) 49,000원, 돼지모듬 (900g) 63,000원, 가브리 (200g) 18,000원, 목살(200g) 15,000원"
11203033,해송,35.1708121657062,126.905951907121,062-523-0204,전남광주통합특별시 북구 서양로41번길 9,"음식점 > 한식 > 해물,생선",False,"낙지비빔밥 18,000원, 연포탕 20,000원, 낙지회무침(중) 60,000원, 낙지볶음(중) 60,000원, 낙지전골(중) 65,000원, 낙지회무침(대) 70,000원, 낙지볶음(대) 70,000원, 낙지전골(대) 75,000원"
1971334566,오우가,35.1712520959625,126.906039218436,,전남광주통합특별시 북구 서양로41번길 19,"음식점 > 한식 > 육류,고기",False,
1446094650,골목,35.17145304323605,126.90367338701556,062-412-7171,전남광주통합특별시 북구 용봉로 62-6,음식점 > 한식,False,"시금치카레 8,000원, 마늘새우크림카레 8,000원, 청양카레 8,000원, 규동 8,500원, 우동 6,000원, 새우튀김우동 7,000원, 치킨가라아게 9,000원"
14517683,동산회관,35.175313634354346,126.91332269542426,062-265-0392,전남광주통합특별시 북구 우치로90번길 12-1,음식점 > 한식 > 한정식,False,"한방양념삼겹살 10,000원"
8025577,옥천면옥 본점,35.166419140463994,126.89945882578645,062-528-3888,전남광주통합특별시 북구 무등로 144,음식점 > 한식 > 냉면,False,"물냉면 14,000원, 비빔냉면 14,000원, 옥천면 14,000원, 온면(계절메뉴) 14,000원, 불냉면 15,000원, 설렁탕 12,000원, 수육 (도가니) 45,000원, 수육 (양지) 45,000원, 도가니탕 20,000원, 야채냉면 16,000원, 양념갈비살 (1인분) (2인분이상) 35,000원, 영양갈비탕 18,000원, 칼칼면 15,000원, 회냉면 16,000원"
1324485849,예향정 전대점,35.1747583650468,126.913276080639,062-266-4328,전남광주통합특별시 북구 호동로 5,음식점 > 한식,False,"두루치기단품 (중) 28,000원, 두루치기 2인세트 28,000원, 두루치기 3인세트 41,000원, 두루치기 4인세트 54,000원, 매콤쭈꾸미볶음 2인세트 33,000원, 매콤쭈꾸미볶음 3인세트 48,000원, 매콤쭈꾸미볶음 4인세트 63,000원, 김치찌개단품 10,000원, 두루치기단품 (소) 19,000원, 두루치기단품 (대) 36,000원, 된장찌개 10,000원, 쭈꾸미볶음단품 (소) 24,000원, 쭈꾸미볶음단품 (중) 35,000원, 쭈꾸미볶음단품 (대) 46,000원"
19357708,경민회관,35.1728392833916,126.911899350756,062-267-1700,전남광주통합특별시 북구 우치로 61,"음식점 > 한식 > 육류,고기",False,"육회비빔밥 10,000원, 돌솥비빔밥 11,000원, 안창살(130g) 48,000원, 꽃살(130g) 46,000원, 갈비살(130g) 38,000원, 생고기(한접시)(500g) 85,000원, 생고기(반접시)(250g) 45,000원, 불백(150g) 18,000원, 생삼겹(180g) 14,000원, 생목살(180g) 14,000원, 익힘비빔밥 10,000원, 야채비빔밥 9,000원, 특육회비빔밥 17,000원, 곰탕 10,000원, 김치찌개 9,000원, 떡국 10,000원, 냉면 9,000원, 경민삼계탕 15,000원"
969560632,옹고집보쌈,35.1758944915049,126.895530260754,062-525-1260,전남광주통합특별시 북구 저불로 18-4,"음식점 > 한식 > 육류,고기 > 족발,보쌈",False,"옹고집보쌈 (중) 42,000원, 쟁반국수 12,000원, 해물파전 18,000원, 옹고집보쌈 (소) 35,000원, 옹고집보쌈 (대) 48,000원, 홍어삼합보쌈 (소) 49,000원, 홍어삼합보쌈 (중) 56,000원, 홍어삼합보쌈 (대) 63,000원, 오리훈제보쌈 (소) 35,000원, 오리훈제보쌈 (중) 42,000원, 오리훈제보쌈 (대) 48,000원, 굴보쌈 (10월~3월 계절메뉴)(소) 49,000원, 굴보쌈 (10월~3월 계절메뉴)(중) 56,000원, 굴보쌈 (10월~3월 계절메뉴)(대) 63,000원, 보쌈정식 (2인이상) 11,000원, 항아리누룽지 5,000원, 2인세트 39,000원, 3인세트 51,000원, 4인세트 71,000원"
9474885,초가왕족발,35.1694260478525,126.903872265677,062-512-9303,전남광주통합특별시 북구 자미로 40,"음식점 > 한식 > 육류,고기 > 족발,보쌈",False,"앞다리 41,000원, 뒷다리 37,000원, 미니족 23,000원, (양념추가시)기본양념셋트 5,000원, 공기 1,000원, 음료수 2,000원, 콜라 3,000원, 킨사이다 3,000원"
1933426004,천지연삼겹살,35.17761119032402,126.90264076927562,062-522-9210,전남광주통합특별시 북구 설죽로214번길 90,"음식점 > 한식 > 육류,고기 > 삼겹살",False,"참치돌판비빔밥 4,500원, 고기돌판비빔밥 4,500원, 고기치즈돌판비빔밥 7,000원, 와인숙성삼겹살(200g)(2인이상) 9,900원, 김치찌개 4,500원, 호박찌개 3,500원, 된장찌개 4,500원, 순두부찌개 4,500원, 물냉면 4,000원, 비빔냉면 4,000원, 고기치즈돌판비빔밥 곱빼기 9,000원, 야채돌판비빔밥 4,000원, 갈비탕 7,000원, 육개장 7,000원, 참치비빔밥 3,500원, 고기돌판비빔밥 곱빼기 6,500원, 참치치즈돌판비빔밥 7,000원, 참치치즈돌판비빔밥 곱빼기 9,000원, 참치돌판비빔밥 곱빼기 6,500원"
