id,name,lat,lng,phone,address,category_name,delivery_suspect,zone,distance_m,margin_m,needs_review,category_final,채택여부,대표메뉴_가격
1239694225,술돼지,35.17237808601571,126.9062904029485,062-511-9295,전남광주통합특별시 북구 용봉로 88,"음식점 > 한식 > 육류,고기",False,정문,147.5,455.4,False,한식,O,"이베리코황금살(180G) 18,000원, 이베리코악어살(180G) 18,000원, 이베리코늑간살(180G) 19,000원, 매운치즈닭발 20,000원, 초벌막창구이 18,000원"
8679773,청자골강진식육식당,35.17025972721003,126.9108439404671,062-526-6733,전남광주통합특별시 북구 우치로27번길 4,"음식점 > 한식 > 육류,고기",False,후문,545.5,77.6,True,한식,O,"항정살 (200g) 18,000원, 생삼겹살 (200g) 16,000원, 살치살 (200g) 54,000원, 등심 (200g) 49,000원, 돼지모듬 (900g) 63,000원"
11203033,해송,35.1708121657062,126.905951907121,062-523-0204,전남광주통합특별시 북구 서양로41번길 9,"음식점 > 한식 > 해물,생선",False,정문,275.8,453.5,False,한식,O,"연포탕 18,000원, 낙지비빔밥 16,000원, 낙지회무침(중) 55,000원, 낙지볶음(중) 55,000원, 낙지전골(중) 55,000원"
1971334566,오우가,35.1712520959625,126.906039218436,,전남광주통합특별시 북구 서양로41번길 19,"음식점 > 한식 > 육류,고기",False,정문,233.1,459.1,False,한식,O,"한우살치살(1인분) 46,000원, 한우불고기 15,000원, 특생고기비빔밥 14,000원, 한우생고기(대) 65,000원, 새우살(1인분) 55,000원"
1446094650,골목,35.17145304323605,126.9036733870156,062-412-7171,전남광주통합특별시 북구 용봉로 62-6,음식점 > 한식,False,정문,224.1,412.4,False,한식,O,"시금치카레 8,000원, 마늘새우크림카레 8,000원, 청양카레 8,000원, 규동 8,500원, 우동 6,000원"
14517683,동산회관,35.17531363435435,126.9133226954243,062-265-0392,전남광주통합특별시 북구 우치로90번길 12-1,음식점 > 한식 > 한정식,False,후문,117.9,291.1,False,한식,O,"한방양념삼겹살 10,000원"
8025577,옥천면옥 본점,35.16641914046399,126.8994588257864,062-528-3888,전남광주통합특별시 북구 무등로 144,음식점 > 한식 > 냉면,False,정문,902.3,339.1,False,한식,O,"물냉면 14,000원, 비빔냉면 14,000원, 옥천면 14,000원, 온면(계절메뉴) 14,000원, 불냉면 15,000원"
1324485849,예향정 전대점,35.1747583650468,126.913276080639,062-266-4328,전남광주통합특별시 북구 호동로 5,음식점 > 한식,False,후문,115.4,351.6,False,한식,O,"두루치기단품 (중) 28,000원, 두루치기 2인세트 28,000원, 두루치기 3인세트 41,000원, 두루치기 4인세트 54,000원, 매콤쭈꾸미볶음 2인세트 33,000원"
19357708,경민회관,35.1728392833916,126.911899350756,062-267-1700,전남광주통합특별시 북구 우치로 61,"음식점 > 한식 > 육류,고기",False,후문,247.7,382.1,False,한식,O,"육회비빔밥 10,000원, 돌솥비빔밥 11,000원, 안창살(130g) 48,000원, 꽃살(130g) 46,000원, 갈비살(130g) 38,000원"
969560632,옹고집보쌈,35.1758944915049,126.895530260754,062-525-1260,전남광주통합특별시 북구 저불로 18-4,"음식점 > 한식 > 육류,고기 > 족발,보쌈",False,상대,708.5,202.7,False,한식,O,"옹고집보쌈 (중) 42,000원, 쟁반국수 12,000원, 해물파전 18,000원, 옹고집보쌈 (소) 35,000원, 옹고집보쌈 (대) 48,000원"
9474885,초가왕족발,35.1694260478525,126.903872265677,062-512-9303,전남광주통합특별시 북구 자미로 40,"음식점 > 한식 > 육류,고기 > 족발,보쌈",False,정문,427.5,435.2,False,한식,O,"앞다리 41,000원, 뒷다리 37,000원, 미니족 23,000원, (양념추가시)기본양념셋트 5,000원, 공기 1,000원"
1933426004,천지연삼겹살,35.17761119032402,126.9026407692756,062-522-9210,전남광주통합특별시 북구 설죽로214번길 90,"음식점 > 한식 > 육류,고기 > 삼겹살",False,상대,69.2,300.7,False,한식,O,"참치돌판비빔밥 4,500원, 고기돌판비빔밥 4,500원, 고기치즈돌판비빔밥 7,000원, 와인숙성삼겹살(200g)(2인이상) 9,900원, 김치찌개 4,500원"
1480682796,삼일집,35.17735155510775,126.9145248251112,062-262-8892,전남광주통합특별시 북구 호동로15번길 50,"음식점 > 한식 > 육류,고기",False,공대쪽문,285.9,53.0,True,한식,O,"모소리살 15,000원, 오돌뼈 14,000원, 잔치국수 7,000원, 숯불막창 14,000원, 껍데기 7,000원"
26540939,박준기감자탕,35.1783796930649,126.901090829768,062-529-6777,전남광주통합특별시 북구 반룡로28번길 11,음식점 > 한식 > 감자탕,False,상대,232.3,148.5,True,한식,O,"우거지 감자탕(소) 32,000원, 우거지 감자탕(중) 39,000원, 묵은지 감자탕(소) 35,000원, 뼈 해장국（우거지） 12,000원, 뼈해장국(우거지)＋우거지추가 14,700원"
21361090,돼지똥꼬 본점,35.174690521749,126.914202670515,062-525-9285,전남광주통합특별시 북구 서방로9번길 27,"음식점 > 한식 > 육류,고기",False,후문,198.9,303.6,False,한식,O,"연탄갈매기살 16,000원, 닭목살구이 15,000원, 막창 15,000원, 연탄오돌뼈 15,000원, 주먹밥 4,000원"
12689524,제주돈사촌,35.1765361847921,126.895446007425,062-522-8985,전남광주통합특별시 북구 저불로 24,"음식점 > 한식 > 육류,고기 > 삼겹살",False,상대,705.4,213.5,False,한식,O,"제주산 근고기 (600g)(2인기준) 51,000원, 김치찌개 (1인분) 9,000원, 김치찌개 (2인분) 18,000원, 김치찌개 (3인분) 27,000원, 물/비빔냉면 8,000원"
1711969750,다원,35.1774868464594,126.902694710096,062-266-1648,전남광주통합특별시 북구 설죽로202번길 98,"음식점 > 한식 > 육류,고기 > 삼겹살",False,상대,56.2,324.7,False,한식,O,"고추장양념삼겹살 (2인이상) 5,000원, 뼈해장국 5,500원, 뚝배기불고기 5,500원, 애호박찌개 5,500원, 김치찌개 5,500원"
537058265,만선,35.1744123242903,126.913388420269,,전남광주통합특별시 북구 호동로 6,"음식점 > 한식 > 해물,생선",False,후문,140.6,366.2,False,한식,O,"알곤이탕(공기미포함) 28,000원, 복지리탕(공기미포함 비조리) 28,000원, 낙지덮밥(공기포함) 24,000원, 꼬막비빔밥(공기포함) 11,000원, 왕새우튀김 12,000원"
21362219,골목대장,35.1751369001339,126.913227376505,,전남광주통합특별시 북구 호동로 9-10,음식점 > 한식,False,후문,106.2,319.0,False,한식,O,"라볶이 5,000원, 돌솥비빔밥 6,000원, 김치찌개 6,000원, 순두부찌게 6,000원, 라면 4,000원"
1434986865,뚱땅찌개&갈비찜 본점,35.1707661759244,126.904771914189,,전남광주통합특별시 북구 서양로 31,음식점 > 한식,False,정문,267.1,459.0,False,한식,O,"반／반 뚱땅갈비찜 31,000원, 뚱땅 갈비찜 29,000원, [속풀이~] 애호박찌개 10,900원, 1인 뚱땅갈비찜 19,000원, [칼칼한~] 돼지 김치찌개 10,900원"
589043835,채우담 본점,35.1714237939203,126.902043298527,,전남광주통합특별시 북구 서양로 5,음식점 > 한식,False,정문,329.6,316.7,False,한식,O,
1229072760,돼지꿈꾸다,35.1658371013762,126.901949014186,062-526-3392,전남광주통합특별시 북구 자동차로 73,"음식점 > 한식 > 육류,고기",False,정문,859.9,404.4,False,한식,O,"매운불닭발 16,000원, 숯불주물럭 15,000원, 껍데기(2장) 6,000원, 묵은지김치찌개 10,000원, 짜글이된장술밥 8,000원"
9690627,고향회관,35.1789973171338,126.90244260535,062-511-6708,전남광주통합특별시 북구 반룡로41번길 3,"음식점 > 한식 > 육류,고기",False,상대,214.4,31.5,True,한식,O,"생삼겹살(180g) 15,000원, 오리탕(1마리) 70,000원, 참옻오리백숙(1마리) 70,000원, 한방오리백숙(1마리) 70,000원, 오리로스+탕(소) 35,000원"
26895435,쭉심,35.1753684970659,126.914421514026,,전남광주통합특별시 북구 호동로15번길 6,"음식점 > 한식 > 해물,생선",False,후문,217.1,227.5,False,한식,O,"쭈꾸미+삼겹 12,000원, 쭈꾸미 11,000원, 쭈꾸미+새우 12,000원"
1005848579,해수니보쌈,35.17062316430625,126.9086788493173,062-521-2080,전남광주통합특별시 북구 우치로27번길 45,"음식점 > 한식 > 육류,고기 > 족발,보쌈",False,정문,438.9,142.7,True,한식,O,"닭볶음탕 35,000원, 보쌈 (1인분)(2인이상) 15,000원, 제육볶음 (1인분)(2인이상) 10,000원, 촌닭백숙 (3시간전 예약) 60,000원, 오리백숙 (3시간전 예약) 65,000원"
10554581,수진식당,35.1776958939321,126.902611027405,062-528-8251,전남광주통합특별시 북구 설죽로214번길 90,음식점 > 한식,False,상대,78.0,284.2,False,한식,O,"참치비빔밥 5,000원, 김치찌개 백반 3,500원, 오징어볶음백반 (2인이상) 9,000원, 참치김치찌개 백반 3,500원, 제육볶음 백반 4,000원"
27432627,노릇노릇식당,35.17318837487568,126.9147915447481,010-2778-4234,전남광주통합특별시 북구 서방로 16-1,"음식점 > 한식 > 해물,생선",False,후문,324.0,353.1,False,한식,O,"삼치구이 13,000원, 고등어구이 12,000원, 버섯소불고기 11,000원, 수육백반 12,000원, 수육백반(1인) 12,000원"
10833692,청죽골한우식육식당,35.17989971293413,126.9014995805449,062-511-5566,전남광주통합특별시 북구 반룡로27번길 20,"음식점 > 한식 > 육류,고기",False,예대,259.5,80.5,True,한식,O,"생비빔밥 10,000원, 육회 (중) 40,000원, 갈비살 (150g) 38,000원, 등심 (150g) 35,000원, 안심 (150g) 28,000원"
17548193,한접시 본점,35.1694335715919,126.902012754429,010-5242-3373,전남광주통합특별시 북구 서암대로 161,"음식점 > 한식 > 육류,고기 > 갈비",False,정문,494.6,371.2,False,한식,O,"생돼지갈비 양념구이(한접시) 16,000원, 생돼지갈비 소금구이(한접시) 16,000원"
439850494,벼락,35.1776155476328,126.901342055869,,전남광주통합특별시 북구 설죽로214번길 70-6,"음식점 > 한식 > 육류,고기",False,상대,173.5,255.0,False,한식,O,"물냉면＋ 숯불고기（80g） 13,000원, 비빔냉면＋ 숯불고기（80g） 13,000원, 쌈밥＋ 숯불고기（80g） 12,000원, 비빔밥＋ 숯불고기（80g） 12,000원, 참치비빔밥＋ 숯불고기（80g） 12,500원"
1148199265,만미당 본점,35.1788452803009,126.897343386865,062-527-9233,전남광주통합특별시 북구 설죽로 215,"음식점 > 한식 > 해물,생선 > 장어",False,상대,561.5,93.3,True,한식,O,
252228904,올능이능이버섯백숙 본점,35.1749930902125,126.895478720764,062-528-3335,전남광주통합특별시 북구 설죽로171번길 7,"음식점 > 한식 > 육류,고기 > 닭요리",False,상대,739.4,147.9,True,한식,O,"닭（촌닭）능이백숙 69,000원, 청둥오리전골(샤브) 79,000원, 닭(촌닭)볶음탕 64,000원, 능이 삼계탕 16,000원, 오리 능이백숙 69,000원"
13083741,숯과닭발 용봉점,35.1785453175466,126.896506126124,062-527-1588,전남광주통합특별시 북구 용봉택지로 91,"음식점 > 한식 > 육류,고기 > 닭요리",False,상대,624.8,112.8,True,한식,O,"마늘돼지 16,000원, 닭발 21,000원, 모듬셋트 47,000원, 빨간돼지 16,000원, 가브리 16,000원"
910263067,모퉁이집,35.1748501292323,126.915581304581,070-4038-2714,전남광주통합특별시 북구 호동로 28-1,음식점 > 한식 > 국수,False,후문,320.7,230.5,False,한식,O,"멸치국수 5,500원, 비빔국수 6,000원, 비빔밥 6,500원, 유부초밥 4개 3,000원, 주먹밥 3,000원"
